,Mean Coeff,σ Coeff
rh_Pole_occipital,-0.007430682132899899,0.06147622554859296
rh_S_oc_middle_and_Lunatus,-0.007195018320808027,0.10483698618399487
rh_G_and_S_cingul-Mid-Ant,-0.006050419454991761,0.1098269891528654
rh_G_insular_short,0.005430644299372362,0.044252923955511815
lh_G_cingul-Post-dorsal,-0.005230951727757487,0.056516765300434216
rh_G_and_S_cingul-Mid-Post,0.005177338930796062,0.08279089921299265
rh_G_occipital_middle,0.004896228336121227,0.10562315190855937
lh_G_and_S_frontomargin,0.0032203374276384526,0.1240253978753465
rh_G_temp_sup-G_T_transv,-0.0025778410696022658,0.1280372071510664
lh_S_parieto_occipital,-0.000644993844446661,0.06999903255175428
rh_G_and_S_transv_frontopol,-0.0002285369881751733,0.08248458996786186
