,Mean Coeff,σ Coeff
rh_G_cingul-Post-dorsal,0.057662377831418324,0.08697938014466912
lh_G_rectus,-0.05576900430193627,0.10594000515149997
lh_G_orbital,0.05559661997740978,0.08707398999168323
rh_G_and_S_occipital_inf,-0.055355439654327376,0.11259842247003395
lh_S_intrapariet_and_P_trans,-0.05534996649032718,0.08153768340576611
lh_G_Ins_lg_and_S_cent_ins,-0.05457074530515225,0.13522741337786628
lh_G_front_inf-Triangul,-0.05435433139517209,0.0819606716091476
lh_G_and_S_cingul-Mid-Post,-0.052372792415147515,0.06702385029698968
lh_G_front_inf-Orbital,0.051497305475092355,0.10562866264441695
lh_G_front_inf-Opercular,-0.04987659737538051,0.07758731880920583
lh_G_oc-temp_med-Parahip,0.049531377388808556,0.08102923898429694
lh_S_oc_middle_and_Lunatus,0.04896800694070105,0.10817762394778094
lh_G_postcentral,0.04730226617995189,0.06729620587225726
lh_G_oc-temp_lat-fusifor,0.04715118065912928,0.08599827116406801
rh_G_oc-temp_med-Parahip,0.04714912824934653,0.04732840766539549
lh_S_temporal_sup,0.04434892169020593,0.06515022715394939
rh_S_orbital_med-olfact,0.04130183252386191,0.0675123229447623
lh_S_occipital_ant,0.04108763476804107,0.07617660287570646
rh_G_and_S_cingul-Mid-Ant,-0.040530355224563205,0.06617436794243609
rh_S_oc-temp_med_and_Lingual,0.040467806767867424,0.0774086518487146
lh_G_temporal_inf,-0.04036486905241216,0.059207944308591665
rh_G_precuneus,-0.03866626634455291,0.07302337569122946
rh_S_circular_insula_sup,0.03797354654122405,0.0703486690855197
rh_S_cingul-Marginalis,-0.03699134245702279,0.07745073945555878
rh_S_postcentral,-0.03697376613244559,0.07666230198994851
lh_S_circular_insula_inf,0.03680815409342057,0.07068906688167738
rh_G_precentral,-0.0367616695493056,0.0682797574735881
lh_G_and_S_transv_frontopol,-0.0347862996711882,0.049139996528812124
rh_G_and_S_paracentral,0.03383338062518689,0.05373999968981078
rh_G_temp_sup-Plan_polar,-0.032774849666271075,0.10568128516368254
rh_G_front_sup,-0.032079538181559134,0.05859154809691899
rh_S_oc-temp_lat,-0.03103659693396782,0.05615525000669385
rh_S_orbital-H_Shaped,0.030843049003769364,0.07912411226773854
lh_G_cuneus,0.030728212584366515,0.06865883447553374
rh_G_pariet_inf-Angular,-0.030208870437440413,0.05703113595977028
lh_S_circular_insula_sup,0.02958712966731195,0.054864595417850326
lh_G_occipital_middle,0.02723530302397321,0.05591493913001895
lh_G_cingul-Post-dorsal,0.026034044025713462,0.05799984884942768
rh_G_orbital,0.025678522375869574,0.04946324421714232
rh_G_postcentral,-0.02560237330084175,0.08456349716948393
rh_G_rectus,0.0249448018366778,0.055413183665815
