,Mean Coeff,σ Coeff
L_PreS_ROI-HIPPOCAMPUS_LEFT,-0.051386701467096146,0.13187825814557877
L_9a_ROI-L_PeEc_ROI,-0.05138542507552909,0.11431900601669252
L_H_ROI-L_s32_ROI,0.05126819149806434,0.05274572538232667
R_PHT_ROI-L_13l_ROI,-0.051176557132470366,0.05441934887489647
R_Pir_ROI-L_LIPd_ROI,0.050414409560688815,0.06442109459924016
R_44_ROI-R_TE1a_ROI,0.0503829910475561,0.04592524413484001
R_MI_ROI-R_STGa_ROI,0.05007837375093604,0.083474395372385
R_A5_ROI-R_PGs_ROI,0.05007170127067324,0.13360955445894565
L_LIPd_ROI-AMYGDALA_LEFT,-0.0492960779076385,0.05462210761768022
R_PeEc_ROI-L_a47r_ROI,-0.049271562450905505,0.06634194935252939
L_TE2p_ROI-L_TE1m_ROI,-0.0490121252379549,0.050610348546348265
R_13l_ROI-L_OP1_ROI,0.048920180541295995,0.08643695532517777
R_TA2_ROI-L_RI_ROI,0.048217487356269906,0.0735206522940693
L_p32pr_ROI-L_8BM_ROI,-0.04816297822954327,0.05511609705696832
L_6v_ROI-L_STSda_ROI,0.047876047758892454,0.058974551293740664
L_46_ROI-DIENCEPHALON_VENTRAL_LEFT,0.04782899514139552,0.042776998828938304
L_a24pr_ROI-L_p24_ROI,-0.04727693884868943,0.05214529513671731
R_10v_ROI-L_10d_ROI,0.04724389655409401,0.048070109522542495
R_TF_ROI-R_s32_ROI,-0.04671385230083781,0.06425098281737268
L_a47r_ROI-PUTAMEN_RIGHT,-0.04658042239150241,0.0455649268060574
L_7AL_ROI-L_3a_ROI,-0.046371671637629376,0.06575899816786022
R_7PL_ROI-L_PFt_ROI,0.04617369596406726,0.05886381988843038
R_6v_ROI-R_pOFC_ROI,-0.046075810169349724,0.05417152649836392
R_AVI_ROI-L_LIPd_ROI,0.04605731520691071,0.04517203778634715
L_31pv_ROI-L_s32_ROI,-0.045639686423112544,0.04542437819219352
R_STV_ROI-L_47m_ROI,-0.0455783248409812,0.11112432098488303
R_23c_ROI-L_7AL_ROI,0.04518029684107382,0.08389107832203435
R_TGv_ROI-BRAIN_STEM,-0.04515791987236326,0.04275660810747651
R_PFcm_ROI-L_Ig_ROI,0.04506762175429083,0.052662134402263486
L_PFop_ROI-L_STSva_ROI,0.044910511760284294,0.05657989783037556
R_6v_ROI-L_PeEc_ROI,-0.044878212498724035,0.05983925316828923
R_4_ROI-R_13l_ROI,-0.04483507666185724,0.041876924409626946
R_s32_ROI-L_FOP3_ROI,0.04445468119091015,0.04069083050215504
L_31pd_ROI-L_s32_ROI,-0.04424200330137562,0.06651222344965756
